"Αναγνωριστικό δημοσίευσης","Αναγνωριστικό λογαριασμού","Όνομα χρήστη λογαριασμού","Όνομα λογαριασμού",Περιγραφή,"Διάρκεια (δευτ.)","Χρόνος δημοσίευσης","Μόνιμος σύνδεσμος","Τύπος δημοσίευσης","Σχόλιο δεδομένων",Ημερομηνία,Απήχηση,"Μου αρέσει!",Κοινοποιήσεις,"Πόσοι ακολουθούν",Σχόλια,Αποθηκεύσεις,Προβολές
17886155558998639,17841454056970413,chaniabookfestival,"Chania Book Festival","Παρουσίαση του πρώτου τεύχος του περιοδικού «Σαλιγκάρι» που κυκλοφόρησε σε έντυπη μορφή τον Δεκέμβριο του ‘23, μετά από εννιά χρόνια διαδικτυακής παρουσίας. Το περιοδικό παρουσίασαν οι: Δημήτρις Γαρρής, ιστορικός, υπ. Δρ Ιστορίας ΕΚΠΑ, Αγγελίνα Μιχάλη, φιλόλογος, υπ. Δρ Φιλοσοφίας ΕΚΠΑ, Γιώργος Νικηφοράκης, ψυχολόγος, Νίκος Σγουρομάλλης, φιλόλογος, υπ. Δρ Νεοελληνικής Φιλολογίας ΕΚΠΑ, απαντώντας μεταξύ άλλων στα ερωτήματα: Τι σημαίνει μια παρέα φίλων να εκδίδει το δικό της καλλιτεχνικό περιοδικό και να περνάει από τον ψηφιακό κόσμο στον κόσμο του εντύπου; Τι είναι ένα λογοτεχνικό περιοδικό; Ποια η αξία του και πώς θα διαφυλάξει την ύπαρξή του μέσα σε έναν διαρκώς μεταλλασσόμενο πολιτισμικό περιβάλλον; 

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 01:57",https://www.instagram.com/p/C8_rAFnIgws/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",216,28,0,0,0,1,1495
18043886614810065,17841454056970413,chaniabookfestival,"Chania Book Festival","Ο συγγραφέας Νίκος Ιατρού συνομίλησε με τη δημοσιογράφο, σύμβουλο έργου του Φεστιβάλ Βιβλίου Χανίων Κυριακή Μπεϊόγλου, για το νέο του μυθιστόρημα «Αποσύνδεση» (Εκδόσεις Ιωλκός), μια  ιστορία επιθυμίας, απώλειας και πόνου δύο ανθρώπων, που υφίστανται διπλό σοκ μαθαίνοντας ταυτόχρονα με τον θάνατο των συντρόφων τους και την κρυφή τους σχέση. 

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 01:48",https://www.instagram.com/p/C8_qAhDoPJS/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",141,19,0,0,0,2,950
17999083520640111,17841454056970413,chaniabookfestival,"Chania Book Festival","Σε μια γεμάτη αίθουσα στο Μεγάλο Αρσενάλι, ο αγαπητός στο κοινό συγγραφέας Νίκος Ψιλάκης συνομίλησε με τον Βασίλη Κιμούλη, υπεύθυνο επικοινωνίας του Φεστιβάλ, για την Ευρώπη των μύθων, τις αποτυπώσεις στην τελετουργία και τη λατρεία των κρητικών πόλεων, τις διαχρονικές επιδράσεις στην αρχαία και τη δυτική τέχνη, καθώς και τους πολύσημους συμβολισμούς των σχετικών διηγήσεων, με αφορμή το βιβλίο του «Κρητική μυθολογία» (Εκδόσεις Καρμάνωρ).

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/03/2024 12:38",https://www.instagram.com/p/C8-PkqDIa2f/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",97,26,0,0,0,0,841
17869384227117689,17841454056970413,chaniabookfestival,"Chania Book Festival","Στο κατάμεστο Θέατρο Μίκης Θεοδωράκης, οι συγγραφείς αστυνομικής λογοτεχνίας Χρήστος Μαρκογιαννάκης και Τεύκρος Μιχαηλίδης συζήτησαν για τα νέα τους βιβλία, «Ο δολοφόνος στις σελίδες» (του Χρήστου Μαρκογιαννάκη) και «Ένα πτώμα στην αυλή της Αμαλίας» (του Τεύκρου Μιχαηλίδη), καθώς και για το είδος του μυθιστορήματος που υπηρετούν και τις γαλλικές αναφορές τους. Τη συζήτηση συντόνισε ο δημοσιογράφος Διονύσης Μαρίνος. 

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: Εκδόσεις Μίνωας / Εκδόσεις Ψυχογιός

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/03/2024 12:22",https://www.instagram.com/p/C8-NysTIimE/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",105,28,0,0,0,0,1359
18146747620319924,17841454056970413,chaniabookfestival,"Chania Book Festival","Στο Μεγάλο Αρσενάλι, παρουσιάστηκε η 17η έκδοση του βιβλίου «Εν Χανίοις 2023», με θέμα διάφορες μελέτες σχετικές με την τοπική ιστορία, τις Ανθρωπιστικές Επιστήμες, τις Τέχνες και τη Λαογραφία της Κρήτης και ιδιαίτερα των Χανίων, από την επιμελήτρια της έκδοσης Ζαχαρένια Σημανδηράκη, Ειδική Συνεργάτιδα των Γενικών Αρχείων του Κράτους. Η ετήσια έκδοση του Δήμου Χανίων «Εν Χανίοις», αποτελεί μια από τις σημαντικότερες εκδόσεις του Δήμου η οποία προσφέρει πολύτιμη γνώση για το παρελθόν αλλά και το παρόν των Χανίων.

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/03/2024 12:13",https://www.instagram.com/p/C8-MwHYIKJ2/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",79,18,0,0,0,1,717
18303720334083797,17841454056970413,chaniabookfestival,"Chania Book Festival","Στο Θέατρο Μίκης Θεοδωράκης, οι: Θεοχάρης Φραγκιουδάκης, ιστορικός ερευνητής, συγγραφέας, εκπαιδευτικός, Κατερίνα Φραγκάκη, ποιήτρια, συγγραφέας, Μαρία Φουρουντζόγλου, μεταφράστρια του βιβλίου, εκπαιδευτικός, παρουσίασαν το μοναδικό πιο εκτεταμένο αφηγηματικό πεζό έργο του Αυστριακού συγγραφέα Ούγκο φον Χόφμανσταλ «Ανδρέας», που εκδόθηκε πρόσφατα για πρώτη φορά στην Ελλάδα από τις εκδόσεις Ραδάμανθυς των Χανίων. 

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: Εκδόσεις Ραδάμανθυς",0,"07/03/2024 11:47",https://www.instagram.com/p/C8-JxuIIyCC/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",126,32,0,0,2,0,2172
18001394099630355,17841454056970413,chaniabookfestival,"Chania Book Festival","Στιγμιότυπα από το 3ο Φεστιβάλ Βιβλίου Χανίων το Σάββατο 29 Ιουνίου! 

3ο Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖
๏

3rd Chania Book Festival
26-30 June 2024
We connect words, we unite narratives 📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",76,"07/01/2024 04:06",https://www.instagram.com/reel/C84KfZSIA-F/,"IG reel",,"Από την αρχή",146,54,0,0,0,0,
18040529932765005,17841454056970413,chaniabookfestival,"Chania Book Festival","«Σαν Νορμάλ» του Διονύση Μαρίνου
Το «Σαν Νορμάλ» είναι πόλη. Κανείς δεν ξέρει πού ακριβώς βρίσκεται.Ο δημοσιογράφος και συγγραφέας Διονύσης Μαρίνος συνομιλεί για το νέο του, σπονδυλωτό μυθιστόρημα με τη δημοσιογράφο Ελεονώρα Ορφανίδου. 

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: Εκδόσεις Μεταίχμιο

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"06/30/2024 11:43",https://www.instagram.com/p/C82a-WnI4u0/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",50,23,0,0,0,0,
18439406977035917,17841454056970413,chaniabookfestival,"Chania Book Festival","«Επιχείρηση “Νόστος”» του Νικόλα Ζηργάνου 
Ο ερευνητής δημοσιογράφος και σεναριογράφος Νικόλας Ζηργάνος, γνωστός για τις έρευνές του για το διεθνές κύκλωμα αρχαιοκαπηλίας, συνομιλεί για το νέο βιβλίο του με την Μαρία Ανδρεαδάκη - Βλαζάκη, δρ. Αρχαιολογίας, πρώην Γενική Γραμματέας του Υπουργείου Πολιτισμού και τη δημοσιογράφο Μικέλα Χαρτουλάρη. 

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: Εκδόσεις Τόπος

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"06/30/2024 11:09",https://www.instagram.com/p/C82XBnpoGL-/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",48,19,0,0,0,1,
18321822115176214,17841454056970413,chaniabookfestival,"Chania Book Festival","Η συγγραφέας Λένα Διβάνη συνομίλησε για το νέο μυθιστόρημά της «Για την καρδιά και το συκώτι του» με την Ζωή Γεωργούλα, δημοσιογράφο, υπεύθυνη Οργάνωσης & Παραγωγής Έργου του Φεστιβάλ Βιβλίου Χανίων. Αποσπάσματα διάβασε η ηθοποιός Ιώ Ασηθιανάκη. 

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"06/30/2024 10:43",https://www.instagram.com/p/C82UFczopby/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",40,43,0,0,0,0,
