"Αναγνωριστικό δημοσίευσης","Αναγνωριστικό λογαριασμού","Όνομα χρήστη λογαριασμού","Όνομα λογαριασμού",Περιγραφή,"Διάρκεια (δευτ.)","Χρόνος δημοσίευσης","Μόνιμος σύνδεσμος","Τύπος δημοσίευσης","Σχόλιο δεδομένων",Ημερομηνία,Προβολές,Απήχηση,"Μου αρέσει!",Κοινοποιήσεις,"Πόσοι ακολουθούν",Σχόλια,Αποθηκεύσεις
18092639738041026,17841454056970413,chaniabookfestival,"Chania Book Festival","Στιγμιότυπα από την ιδιαίτερα ενδιαφέρουσα συζήτηση που πραγματοποιήθηκε την Τετάρτη 24 Ιουνίου 2026, στο Θέατρο Μίκης Θεοδωράκης - αίθουσα 2, όπου συνομίλησαν οι συγγραφείς Ανδρέας Αποστολίδης, Ιερώνυμος Λύκαρης και Γιάννης Μόσχος με θέμα: «Δικτατορία και αστυνομική λογοτεχνία. Η περίπτωση της χούντας των συνταγματαρχών (1967-1974)». 

Συνδιοργάνωση: Ελληνική Λέσχη Συγγραφέων Αστυνομικής Λογοτεχνίας

༄

5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 02:08",https://www.instagram.com/p/DaCySKGDYxw/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",312,113,9,0,0,0,0
18083198690194346,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 Μια συζήτηση για τις Λέσχες Ανάγνωσης των Βιβλιοθηκών και για το όλο και µεγαλύτερο αποτύπωµα της δράσης τους στην ελληνική κοινωνία έλαβε χώρα στη δεύτερη αίθουσα στο Μεγάλο Αρσενάλι,το απόγευμα της Τετάρτης 24 Ιουνίου 2026. 

Στην ιδιαίτερα ενδιαφέρουσα συζήτηση συμμετείχε ο Σταύρος Ζουμπουλάκης, πρόεδρος Εφορευτικού Συμβουλίου Εθνικής Βιβλιοθήκης, η Βιβή Χουδαλάκη, προϊσταμένη Βιβλιοθηκών και Κέντρων Παιδικής Δημιουργίας Δήμου Χανίων, η Εμμανουέλα Μαστοράκη, συντονίστρια Λέσχης Φιλαναγνωσίας ΔΚΒΡ, η Χρύσα Κορκού, διδάσκουσα Παιδικής Λέσχης Φιλαναγνωσίας ΔΚΒΡ.

Συνδιοργάνωση: Εθνική Βιβλιοθήκη της Ελλάδος / Δημοτική Βιβλιοθήκη Χανίων / Δημόσια Κεντρική Βιβλιοθήκη Ρεθύμνης (ΔΚΒΡ) 

༄
5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 02:13",https://www.instagram.com/p/DaCy2CziA6Q/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",403,143,14,0,0,0,0
18131122246716314,17841454056970413,chaniabookfestival,"Chania Book Festival","Μια εκδήλωση αφιερωμένη στον σπουδαίο κινηματογραφιστή Γουόλτερ Λάσαλι, βραβευμένο με Όσκαρ διευθυντή φωτογραφίας, ο οποίος έζησε μεγάλο μέρος της ζωής του στα Χανιά, πραγματοποιήθηκε στο Θέατρο «Μίκης Θεοδωράκης», το απόγευμα της Τετάρτης 24 Ιουνίου 2026.

Με αφορμή την πρόσφατη έκδοση του βιβλίου «Περιπλανώμενος κινηματογραφιστής»: Αυτοβιογραφία του Walter Lassally, συνομίλησαν η Έμι Μαρκαντωνάκη, πρώην διερμηνέας στην Ε.Ε., ο Κώστας Μαυρακάκης, πρόεδρος του Φιλολογικού Συλλόγου «Ο Χρυσόστομος», αρχιτέκτονας και επιμελητής της έκδοσης, ο Άκης Καπράνος, κριτικός κινηματογράφου, και ο Ματθαίος Φραντζεσκάκης, διευθυντής του Φεστιβάλ Κινηματογράφου Χανίων και εκδότης.

Συνδιοργάνωση: Εκδόσεις Η Πυξίδα της Πόλης

༄

5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 02:19",https://www.instagram.com/p/DaCzgwmHxGQ/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",523,173,18,0,0,0,0
17887248513412711,17841454056970413,chaniabookfestival,"Chania Book Festival","Στη Σκάλα της οδού Αγίου Μάρκου, την Τετάρτη 24 Ιουνίου 2026, πραγματοποιήθηκε η εκδήλωση «Νέα ιστορία της Μουσέτ» του Ζωρζ Μπερνανός.
Οι συγγραφείς Ελισάβετ Χρονοπούλου και Μαρία Λούκα συζήτησαν για μια νουβέλα που εκδόθηκε το 1937, αλλά παραμένει σπαραχτικά επίκαιρη: την ιστορία ενός δεκατετράχρονου, περιφρονημένου κοριτσιού, με ένα θέμα βαθιά ανθρώπινο και διαχρονικό.
Τη συζήτηση συντόνισε ο συγγραφέας και Πρόεδρος του Εφορευτικού Συμβουλίου της Εθνικής Βιβλιοθήκης, Σταύρος Ζουμπουλάκης.
Συνδιοργάνωση: Εκδόσεις Άρτος Ζωής

༄

5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 02:42",https://www.instagram.com/p/DaC2LaHiTmZ/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",749,365,16,1,0,0,0
17870358366543364,17841454056970413,chaniabookfestival,"Chania Book Festival","📖 Το βράδυ της Τετάρτης 24 Ιουνίου 2026, η Αίθουσα 2 στο Μεγάλο Αρσενάλι φιλοξένησε την πολύ όμορφη συζήτηση μεταξύ του συγγραφέα Γιάννη Κιουρτσάκη και της φιλολόγου Άννας Λαμπαρδάκη για το βιβλίο του «Κρυμμένη πατρίδα».

Συνδιοργάνωση: Εκδόσεις Πατάκη

༄
5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 02:49",https://www.instagram.com/p/DaC2-C7CPYC/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",712,367,18,0,1,0,0
18107897153318602,17841454056970413,chaniabookfestival,"Chania Book Festival","📸 Βρείτε φωτογραφικά στιγμιότυπα από όλες τις μέρες του Φεστιβάλ Βιβλίου Χανίων στον λογαριασμό μας στο Flickr!

Στιγμές από τις εκδηλώσεις, τους συγγραφείς, τις συζητήσεις, το κοινό και την ατμόσφαιρα του Φεστιβάλ συγκεντρωμένες σε άλμπουμ! ✨ 

🔗 Περιηγηθείτε εδώ:
https://www.flickr.com/photos/chaniabookfestival/albums/
[link in bio]

༄

5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",0,"06/26/2026 03:08",https://www.instagram.com/p/DaC5G8wFxaO/,"Εικόνα IG",,"Από την αρχή",882,441,19,2,0,0,2
18104064979865292,17841454056970413,chaniabookfestival,"Chania Book Festival","🎥 Δείτε τα highlights από την 4η μέρα του 5ου Φεστιβάλ Βιβλίου Χανίων!
Όμορφες στιγμές από τις εκδηλώσεις της Πέμπτης 25 Ιουνίου 2026.✨
༄

5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη.

#chaniabookfestival",96,"06/26/2026 03:39",https://www.instagram.com/reel/DaC8mxdI6E_/,"IG reel",,"Από την αρχή",817,632,26,3,0,0,0
18085285361132128,17841454056970413,chaniabookfestival,"Chania Book Festival","🛬 O Τζόναθαν Κόου  στο 5ο Φεστιβάλ Βιβλίου Χανίων!
Απόψε, Παρασκευή 26 Ιουνίου, στο Θέατρο Μίκης Θεοδωράκης, στις 21:00!

#chaniabookfestival",0,"06/26/2026 04:04",https://www.instagram.com/p/DaC_fhflcey/,"Εικόνα IG",,"Από την αρχή",762,355,24,4,0,0,0
18129575173529552,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 Ο Alejandro Palomas και ο Rodrigo Rey Rosa  στο 5ο Φεστιβάλ Βιβλίου Χανίων!

Με αφορμή τα πρόσφατα λογοτεχνικά βιβλία τους, ο πολυβραβευμένος Ισπανός συγγραφέας Αλεχάντρο Παλόμας  και ο διάσημος ισπανόφωνος Ροδρίγο Ρέι Ρόσα συνομίλησαν μαζί με τον Κώστα Αθανασίου, μεταφραστή και τον δημοσιογράφο Νίκο Κουρμουλή, στο Θέατρο Μίκης Θεοδωράκης, το απόγευμα της Πέμπτης 25 Ιουνίου 2026, στο πλαίσιο της εκδήλωσης «Όψεις της βίας στην οικογένεια και την κοινωνία».

Συνδιοργάνωση: Ελληνο-Ιβηροαμερικανικό Φεστιβάλ ΛΕΑ / Εκδόσεις Καστανιώτη / Εκδόσεις Opera

༄
5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη. 

#chaniabookfestival",0,"06/26/2026 05:22",https://www.instagram.com/p/DaDIeQYlSdW/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",5072,2113,43,2,0,0,0
18084057821176270,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 H Meryem El Mehdati και ο «Σουπερόσαυρος» στο 5ο Φεστιβάλ Βιβλίου Χανίων! 

Η Μέργεµ Ελ Μεγντάτι συνομίλησε με τη δημοσιογράφο Αλεξάνδρα Χριστακάκη για το βιβλίο της. Γεννηµένη στο Μαρόκο και µεγαλωµένη στα Κανάρια,
η νεαρή συγγραφέας απεικονίζει µε νεανική και παιχνιδιάρικη γλώσσα τις
καθηµερινές δοκιµασίες όσων γεννήθηκαν τη δεκαετία του ’90: την αποξένωση
στην εργασία, τον ρατσισµό και τον υπερτουρισµό. 

Η εκδήλωση πραγματοποιήθηκε στη δεύτερη αίθουσα, στο Μεγάλο Αρσενάλι, την Πέμπτη 25 Ιουνίου 2026.

Συνδιοργάνωση: Εκδόσεις Carnivora

༄
5ο Φεστιβάλ Βιβλίου Χανίων
22–28 Ιουνίου 2026
«Κόσμοι σε σύγκρουση»

Το Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων, σε συνδιοργάνωση με την Περιφέρεια Κρήτης, και συγκαταλέγεται στα σημαντικότερα γεγονότα για το βιβλίο στη χώρα, τοποθετώντας δυναμικά τα Χανιά στον ελληνικό και διεθνή πολιτιστικό χάρτη. 

#chaniabookfestival",0,"06/26/2026 06:49",https://www.instagram.com/p/DaDSadajq-s/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",5280,1725,85,4,0,2,0
