"Αναγνωριστικό δημοσίευσης","Αναγνωριστικό λογαριασμού","Όνομα χρήστη λογαριασμού","Όνομα λογαριασμού",Περιγραφή,"Διάρκεια (δευτ.)","Χρόνος δημοσίευσης","Μόνιμος σύνδεσμος","Τύπος δημοσίευσης","Σχόλιο δεδομένων",Ημερομηνία,Προβολές,Απήχηση,"Μου αρέσει!",Κοινοποιήσεις,"Πόσοι ακολουθούν",Σχόλια,Αποθηκεύσεις
17932139105943201,17841454056970413,chaniabookfestival,"Chania Book Festival","🔥 «Ο κόσμος καίγεται» των Π. Κόκκαλη & Ξ. Κοντιάδη

Ο Ξενοφών Κοντιάδης, καθηγητής Παντείου Πανεπιστημίου, δικηγόρος και ο Πέτρος Κόκκαλης, ευρωβουλευτής, γραμματέας του κόμματος ΚΟΣΜΟΣ συνομίλησαν για το βιβλίο τους «Ο κόσμος καίγεται».

Τη συζήτηση συντόνισε η Κυριακή Μπεϊόγλου, δημοσιογράφος, μέλος της οργανωτικής ομάδας του Φεστιβάλ Βιβλίου Χανίων. 

Συνδιοργάνωση: Εκδόσεις Τόπος 

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 11:48",https://www.instagram.com/p/DLk2ejvu8pa/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",832,275,8,1,0,0,0
18041826509315093,17841454056970413,chaniabookfestival,"Chania Book Festival","🖊 Μίκης Θεοδωράκης, Φρανσουά Μιτεράν 

Ο Γιώργος Αγοραστάκης, Πρόεδρος του Παγκρήτιου Συλλόγου Φίλων Μίκη Θεοδωράκη, ο Ηρακλής Μοσκώφ, Γενικός Γραμματέας Ευάλωτων Πολιτών και Θεσμικής προστασίας του Υπουργείου Μετανάστευσης και Ασύλου και ο Κωνσταντίνος Ζορμπάς, Γενικός Διευθυντής της Ορθοδόξου Ακαδημίας Κρήτης συνομίλησαν για το βιβλίο «Πολίτης-Πολιτισμός-Πολιτική» το οποίο περιλαμβάνει και τα πρακτικά του Συνεδρίου «Σοσιαλισμός και Πολιτισμός» (1977) με συμμετοχή, μεταξύ άλλων, των Μίκη Θεοδωράκη και Φρανσουά Μιτεράν.

Συνδιοργάνωση: Ορθόδοξος Ακαδημία Κρήτης / Παγκρήτιος Σύλλογος Φίλων Μίκη Θεοδωράκη / Εκδόσεις Ακρίτα 
༄

4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 11:20",https://www.instagram.com/p/DLkzN3WuJ5I/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",610,156,15,0,0,0,1
18065824154126771,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 Το Φεστιβάλ μπορεί να τελείωσε, αλλά οι εικόνες του συνεχίζουν να αφηγούνται τις μοναδικές στιγμές που ζήσαμε!

📸 Δείτε τα φωτογραφικά άλμπουμ στο Flickr!
[Link στο BIO]

༄

4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 11:00",https://www.instagram.com/p/DLkw8mBObLV/,"Εικόνα IG",,"Από την αρχή",1866,751,47,3,1,0,2
18345928396094190,17841454056970413,chaniabookfestival,"Chania Book Festival","🌌 «Θα πέσει η νύχτα» του Κωνσταντίνου Τζαμιώτη 

Ο πεζογράφος Κωνσταντίνος Τζαμιώτης συνομίλησε για το νέο βιβλίου του, «Θα πέσει η νύχτα», με τον Γιάννη Μπασκόζο, δημοσιογράφο, συγγραφέα, διευθυντή του ηλεκτρονικού περιοδικού «Ο Αναγνώστης».

Συνδιοργάνωση: Εκδόσεις Μεταίχμιο

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 09:49",https://www.instagram.com/p/DLko3V0uyrD/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",621,167,9,0,0,0,0
17906275689189384,17841454056970413,chaniabookfestival,"Chania Book Festival","🖊 «Τρεις εποχές» του Στάθη Λιβαθινού 

Ο γνωστός σκηνοθέτης και τ. καλλιτεχνικός διευθυντής του Εθνικού Θεάτρου Στάθης Λιβαθινός (μέλος της Ακαδημίας Αθηνών) συνομίλησε με την δημοσιογράφο Μυρτώ Λοβέρδου για το πρόσφατο βιβλίο του.

Συνδιοργάνωση: Εκδόσεις Πατάκη

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 08:56",https://www.instagram.com/p/DLkivVXugXx/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",1380,733,19,2,0,0,0
18065635838173782,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 «Καζαντζάκης 1: Η κρητική ματιά (1883-1919)» & «Καζαντζάκης 2: Ο πολύβουος κόσμος (1921-1957)» του Αλέν Γλυκός 

Ο Γάλλος συγγραφέας Αλέν Γλυκός συνομίλησε με τη δημοσιογράφο Ελεωνόρα Ορφανίδου για τα δύο εντυπωσιακά graphic novel του, που συνδημιούργησε με τον εικονογράφο Antonin, αφιερωμένα στον Νίκο Καζαντζάκη.

Συνδιοργάνωση: Εκδόσεις Διόπτρα

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 08:15",https://www.instagram.com/p/DLkeB8UOxi7/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",717,232,17,1,0,0,1
18068594432016360,17841454056970413,chaniabookfestival,"Chania Book Festival","~ Τιμητική εκδήλωση για τη Σουζάνα Αντωνακάκη ~ 

Ενενήντα χρόνια από τη γέννηση και πέντε από τον θάνατο της Σουζάνας Αντωνακάκη, επιφανέστερης αρχιτεκτόνισσας της γενιάς της, και με αφορμή την έκδοση «Αρχιτεκτονική ποιητική» που περιέχει δυσεύρετα κείμενα δημόσιων παρεμβάσεών της σε μια περίοδο έξι δεκαετιών, οι αρχιτέκτονες Δημήτρης Αντωνακάκης, Οδυσσέας Σγουρός και η καθηγήτρια Νεοελληνικής Φιλολογίας στο Πανεπιστήμιο Κρήτης Αγγέλα Καστρινάκη συζήτησαν για το αποτύπωμα της διαδρομής της στην αρχιτεκτονική και τον πολιτισμό.

Τη συζήτηση συντόνισε ο Στέλιος Γιαμαρέλος, καθηγητής Αρχιτεκτονικής (UCL, Αγγλία, επιμελητής της έκδοσης).

Συνδιοργάνωση: Πανεπιστημιακές Εκδόσεις Κρήτης

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 07:38",https://www.instagram.com/p/DLkZ28bqotd/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",2819,940,45,1,1,0,1
18388202074187852,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 «Μίκης Θεοδωράκης το χρονικό μιας επανάστασης 1960-1967. Η ιστορία της γενιάς του 1-1-4 και των ""Λαμπράκηδων""» του Φώντα Λάδη 

Για το βιβλίο του συγγραφέα Φώντα Λάδη, μίλησε ο Ματθαίος Φραντζεσκάκης, διευθυντής Φεστιβάλ Κινηματογράφου Χανίων, μέλος ΔΣ Παγκρήτιου Συλλόγου Φίλων Μίκη Θεοδωράκη και ο Θανάσης Συλιβός, εκδότης. 

Συνδιοργάνωση: Παγκρήτιος Σύλλογος Φίλων Μίκη Θεοδωράκη / Εκδόσεις Μετρονόμος

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 06:58",https://www.instagram.com/p/DLkVSV3qhkd/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",764,271,15,1,0,0,0
18050762327148936,17841454056970413,chaniabookfestival,"Chania Book Festival","🖊 «Ο ήχος της σιωπής της» του Δημοσθένη Κούρτοβικ

Ο συγγραφέας και κριτικός λογοτεχνίας Δημοσθένης Κούρτοβικ συνομίλησε για το πρόσφατο μυθιστόρημά του «Ο ήχος της σιωπής της» με τον Κώστα Κατσουλάρη, συγγραφέα, δημοσιογράφο και πρόεδρο της Εταιρείας Συγγραφέων.

Συνδιοργάνωση: Εκδόσεις Εστία 

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 06:18",https://www.instagram.com/p/DLkQtWxqJJt/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",597,169,17,0,0,0,0
18518479513027381,17841454056970413,chaniabookfestival,"Chania Book Festival","🕌 «Το παλάτι των δύο λόφων» του Καρίμ Κατάν 

Ο βραβευμένος Παλαιστίνιος, γεννημένος στην Ιερουσαλήμ συγγραφέας και διδάκτωρ συγκριτικής λογοτεχνίας Καρίμ Κατάν συνομίλησε με την ποιήτρια Δανάη Σιώζιου για τη σχέση της λογοτεχνίας με την κοινωνία και την πολιτική.

Συνδιοργάνωση: Εκδόσεις Εστία

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 04:30",https://www.instagram.com/p/DLkETlXOcAm/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",1059,483,22,2,0,0,0
18107560486518954,17841454056970413,chaniabookfestival,"Chania Book Festival","📚 «Στη σκιά του όρους Όχη» του Γιάννη Μακριδάκη 

Ο συγγραφέας Γιάννης Μακριδάκης συνομίλησε με το κοινό για το νέο του βιβλίο με τίτλο «Στη σκιά του όρους Όχη».

Συνδιοργάνωση: Εκδόσεις Εστία

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 03:48",https://www.instagram.com/p/DLj_kwTO_te/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",576,207,14,1,0,0,0
